Country,EPSI,Date,ECPI,CCPI,GSCPI
Switzerland,2.75,1991-01-31,,,
Czech Republic,1.0,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Czech Republic,1.0,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Czech Republic,3.0,1991-01-31,,,
Czech Republic,1.0,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Czech Republic,0.8888889,1991-01-31,,,
Czech Republic,1.1666666,1991-01-31,,,
Czech Republic,1.0,1991-01-31,,,
Czech Republic,5.0,1991-01-31,,,
Czech Republic,1.5,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Czech Republic,1.0,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Czech Republic,0.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,1.5833334,1991-01-31,,,
Japan,3.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,1.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,3.0,1991-01-31,,,
Japan,1.25,1991-01-31,,,
Japan,6.0,1991-01-31,,,
Japan,0.5,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,1.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,0.0,1991-01-31,,,
Japan,3.0,1991-01-31,,,
Denmark,2.0,1991-01-31,,,
Denmark,1.5,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,0.33333334,1991-01-31,,,
Denmark,3.0,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,2.0,1991-01-31,,,
Denmark,1.0,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,0.94444442,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,1.0,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,1.0,1991-01-31,,,
Denmark,0.0,1991-01-31,,,
Denmark,1.0,1991-01-31,,,
Italy,1.0,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,1.0,1991-01-31,,,
Italy,1.5,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,1.0,1991-01-31,,,
Italy,1.5,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,0.0,1991-01-31,,,
Italy,4.0,1991-01-31,,,
